,x5,magnit
57,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
58,Коммутатор CISCO WS-C2960R+48PST-S,WS-C2960R+24PC-L
59,Коммутатор CISCO WS-C2960R+48PST-S,WS-C2960R+24PC-L
60,Коммутатор CISCO WS-C2960R+48PST-S,WS-C2960R+24PC-L
61,Маршрутизатор Cisco ISR4321R-V/K9,Cisco ISR4431-SEC/K9
62,Маршрутизатор Cisco ISR4321R-V/K9,Cisco ISR4431-SEC/K9
63,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
64,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
65,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
66,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
67,Сервер Dell PowerEdge R640 Intel 5120,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
68,Сервер Dell PowerEdge R640 Intel 5120,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
69,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
70,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
71,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
72,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
73,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
74,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
75,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
76,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
77,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
78,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
79,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
80,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
81,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
82,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
83,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
84,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
85,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
86,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
87,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
88,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
89,Фискальный Регистратор,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
90,Фискальный Регистратор,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
91,Фискальный Регистратор,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
92,Фискальный Регистратор,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
93,Фискальный Регистратор,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
94,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
95,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
96,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
97,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
98,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
99,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
100,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
101,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
102,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
103,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
104,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
